recno,Symbad_Hyades,PAM_clust,sil_width
6267,FALSE,2,0.22557167741158643
6273,FALSE,2,0.33192527790378634
6274,FALSE,2,0.16252534655048112
6276,FALSE,2,0.06845924511632431
6277,FALSE,2,0.02240083023591107
6281,FALSE,2,0.16747892082980825
6284,FALSE,2,0.0923545657592243
6297,FALSE,2,0.017216028584037403
6326,FALSE,2,0.18067507524145432
6329,FALSE,2,0.18544384238492254
6335,FALSE,2,0.2395676622023929
6338,FALSE,2,0.05583351754823043
6342,FALSE,2,0.28769641113984584
6343,FALSE,2,0.14055247142948352
6350,FALSE,2,0.010621345630624675
6356,FALSE,2,0.12829129245452445
6359,FALSE,2,0.17338112243789405
6378,FALSE,2,0.2154484554873083
6380,FALSE,2,0.06582589327085944
6385,FALSE,2,0.32367370526506484
6386,FALSE,2,0.22466093941704351
6389,FALSE,2,0.18998632315249103
6390,FALSE,2,0.219526760518549
6397,FALSE,2,0.1621136180462983
6406,FALSE,2,0.11762389034619278
6409,FALSE,2,0.1719380698935722
6418,FALSE,2,0.27596789385975323
6425,FALSE,2,0.004166800280927797
6431,FALSE,2,0.09718988217101686
6436,FALSE,2,0.09602233020629235
6445,FALSE,2,0.22919370044174348
6447,FALSE,2,0.2401313771057575
6450,FALSE,2,0.1887917326476543
6452,FALSE,2,0.16375329572342948
6460,FALSE,2,0.18739200262272107
6471,FALSE,2,0.18415637515853292
6473,FALSE,2,0.2211090162691531
6479,FALSE,2,0.23283706367894463
6482,FALSE,2,0.2648125176721117
6485,FALSE,2,0.27657313280703155
6497,FALSE,2,0.055490042375352294
6498,FALSE,2,0.181684689419731
6501,FALSE,2,0.07454089483114676
6509,FALSE,2,0.2177263048855152
6510,FALSE,2,0.31599998308883137
6517,FALSE,2,0.3405610346100597
6521,FALSE,2,0.23862065447680905
6527,FALSE,2,0.19464350680859685
6529,FALSE,2,0.20449606008405652
6533,FALSE,2,0.1448980985793562
6535,FALSE,2,0.23493238751207154
6552,FALSE,2,0.3370522446100437
6557,FALSE,2,0.2814864046315136
6559,FALSE,2,0.10858719246556776
6575,FALSE,2,0.15344316005424097
6579,FALSE,2,0.22290607822983827
6580,FALSE,2,0.2826257680429078
6585,FALSE,2,0.277021398849522
6589,FALSE,2,0.051712493208474264
6610,FALSE,2,0.051635861308707474
6612,FALSE,2,0.2629147822864945
6613,FALSE,2,0.049518995242099816
6614,FALSE,2,0.2968293467421831
6615,FALSE,2,0.25874499417968827
6617,FALSE,2,0.08760702264630622
6639,FALSE,2,0.04291987057240516
6640,FALSE,2,0.08567015034998321
6643,FALSE,2,0.10116408333449654
6644,FALSE,2,0.09606871048494735
6646,FALSE,2,0.028218118215843017
6659,FALSE,2,0.1365943584267555
6672,FALSE,2,0.12286805947523766
6675,FALSE,2,0.29298838739438965
6676,FALSE,2,0.2737535206310175
6677,FALSE,2,0.11921751976684673
6697,FALSE,2,0.2707449829987054
6698,FALSE,2,0.09276604788168974
6705,FALSE,2,0.19232005094165205
6720,FALSE,2,0.20319691610438598
6741,FALSE,2,0.07539078117947291
6742,FALSE,2,0.33328844505630767
6754,FALSE,2,0.0822816937970346
6769,FALSE,2,0.02313822651486695
6771,FALSE,2,0.06037435906562782
6776,FALSE,2,0.292946215039669
6784,FALSE,2,0.13147677281815973
6795,FALSE,2,0.051489593031295376
6801,FALSE,2,0.2764777928194951
6806,FALSE,2,0.07029761097249293
6807,FALSE,2,0.07984627780924804
6823,FALSE,2,0.011333008654792587
6826,FALSE,2,0.32180102636730207
6828,FALSE,2,0.1160101464488931
6840,FALSE,2,0.343563093504731
6843,FALSE,2,0.1766755643913
